,Method,Model,Input,LossFun,Layer,Neuron,Epoch,Loss
0,Coord,StepLinear,E,3MSE,5,92,500,0.17480960681835164
1,Coord,Linear,E,MSE,5,28,600,0.17483219944399403
2,Coord,Linear,E,L1,3,44,500,0.17491241353060347
3,Coord,Linear,E,MSE,3,44,500,0.17494502111249394
4,Coord,Linear,E,L1,5,28,400,0.1749504259880252
5,Coord,StepLinear,E,4MSE,5,92,500,0.17499314704047275
6,Coord,StepLinear,E,3MSE,2,92,600,0.17500384732199822
7,Coord,Linear,E,MSE,3,28,500,0.17511669528746282
8,Coord,StepLinear,E,4MSE,2,92,500,0.1752096278005016
9,Coord,StepLinear,E,4MSE,2,76,600,0.17522615791262466
10,Coord,Linear,E,MSE,2,92,600,0.17524547869388765
11,Coord,StepLinear,E,3MSE,3,92,500,0.1752464216062129
12,Coord,StepLinear,E,4MSE,5,76,600,0.17525388007976675
13,Coord,Linear,E,MSE,4,28,500,0.1752627620078878
14,Coord,StepLinear,E,4MSE,4,76,500,0.1752823827297468
15,Coord,StepLinear,E,4MSE,4,92,500,0.17529999804989874
16,Coord,1bRNN,E,MSE,4,28,500,0.17531145555128833
17,Coord,StepLinear,E,3MSE,5,60,500,0.17532388549567413
18,Coord,1bRNN,E,MSE,3,44,500,0.1753513896597477
19,Coord,StepLinear,E2,3MSE,5,82,400,0.17536732039158923
20,Coord,Linear,E,L1,4,44,500,0.17537835200091031
21,Coord,Linear,E,L1,5,44,600,0.17539431338168107
22,Coord,1bRNN,E,MSE,4,44,600,0.17540051621701422
23,Coord,StepLinear,E,4MSE,3,76,500,0.17541856603568182
24,Coord,Linear,E,L1,4,28,500,0.1754224701396838
25,Coord,Linear,E,MSE,2,76,600,0.17544413769223846
26,Coord,StepLinear,E2,3MSE,2,82,500,0.17545403009578625
27,Coord,StepLinear,E,3MSE,4,76,500,0.17545417285520282
28,Coord,EignModel,E,MSE,5,44,600,0.17546803635780403
29,Coord,StepLinear,E,3MSE,2,60,400,0.17549945583097157
30,Coord,1bRNN,E,MSE,2,92,400,0.17550020986618908
31,Coord,1bRNN,E,MSE,3,60,500,0.17551284467976472
32,Coord,Linear,E,L1,3,60,500,0.17551302073325528
33,Coord,Linear,E,L1,2,76,400,0.17551589337747914
34,Coord,Linear,E,MSE,4,44,600,0.1755164270865376
35,Coord,StepLinear,E,3MSE,5,76,400,0.1755324718078228
36,Coord,Linear,E,L1,2,92,500,0.1755408193667946
37,Coord,StepLinear,E2,3MSE,5,50,600,0.17554605815491572
38,Coord,1bRNN,E,MSE,3,76,500,0.17554908032537112
39,Coord,Linear,E,MSE,3,60,500,0.17557099022574713
40,Coord,StepLinear,E,4MSE,3,92,600,0.1756002386379601
41,Coord,1bRNN,E,MSE,5,28,500,0.17560340708397668
42,Coord,StepLinear,E2,3MSE,3,82,400,0.17561795286915832
43,Coord,1bRNN,E,MSE,4,60,Overfit,0.1756760289017964
44,Coord,StepLinear,E2,3MSE,4,66,400,0.17570337584416676
45,Coord,StepLinear,E,3MSE,4,92,500,0.17572844619439468
46,Coord,Linear,E,MSE,5,44,Overfit,0.17576447708815937
47,Coord,1bRNN,E,MSE,2,76,400,0.1757893872887787
48,Coord,StepLinear,E,3MSE,3,60,500,0.17580787317073426
49,Coord,StepLinear,E,3MSE,2,76,500,0.17580994277492693
50,Coord,StepLinear,E2,3MSE,4,82,400,0.1758130982038719
51,Coord,StepLinear,E,3MSE,3,76,500,0.17582108625333606
52,Coord,Linear,E,L1,2,44,400,0.17584045345050225
53,Coord,Linear,E,MSE,3,76,Overfit,0.17584562765318848
54,Coord,StepLinear,E,4MSE,3,60,500,0.17589117622318617
55,Coord,StepLinear,E2,3MSE,2,66,400,0.17589371083704006
56,Coord,Linear,E,L1,3,76,Overfit,0.17590352670928622
57,Coord,Linear,E,L1,4,60,Overfit,0.17591426122996162
58,Coord,StepLinear,E2,3MSE,3,50,400,0.17592269680247752
59,Coord,EignModel,E,MSE,3,28,600,0.17592981612526212
60,Coord,Linear,E,MSE,2,28,500,0.17594596154133818
61,Coord,Linear,E,L1,2,60,500,0.17594682344377144
62,Coord,EignModel,E,MSE,5,28,400,0.17595734004288532
63,Coord,1bRNN,E,MSE,2,60,400,0.17597749823428083
64,Coord,StepLinear,E2,3MSE,2,50,500,0.17598227373117922
65,Coord,StepLinear,E,3MSE,4,44,500,0.1759945033714992
66,Coord,Linear,E,MSE,2,60,600,0.17602011919775323
67,Coord,StepLinear,E2,3MSE,4,50,500,0.17604613104176045
68,Coord,1bRNN,E,MSE,5,44,Overfit,0.1760476552670572
69,Coord,1aRNN,E,MSE,4,28,600,0.17613611018051278
70,Coord,StepLinear,E2,3MSE,2,34,600,0.17614775566199994
71,Coord,1bRNN,E,MSE,2,44,400,0.17618710015576414
72,Coord,StepLinear,E2,3MSE,3,66,400,0.17619750869951467
73,Coord,EignModel,E,MSE,5,76,Overfit,0.17620255138690097
74,Coord,EignModel,E,MSE,4,28,700,0.1762915233349595
75,Coord,StepLinear,E,4MSE,3,44,500,0.17633218393718592
76,Coord,StepLinear,E,4MSE,4,60,500,0.1763333900991688
77,Coord,1aRNN,E,MSE,5,28,500,0.17634379569672284
78,Coord,StepLinear,E,3MSE,5,44,400,0.17636562243674997
79,Coord,Linear,E,L1,3,28,400,0.17637527306508222
80,Coord,StepLinear,E2,3MSE,5,66,400,0.17637697707521582
81,Coord,StepLinear,E2,3MSE,4,34,500,0.17637741055233813
82,Coord,StepLinear,E,4MSE,5,60,400,0.1763850283893069
83,Coord,1aRNN,E,MSE,2,28,500,0.17640754577022144
84,Coord,Linear,E,MSE,2,44,600,0.17644373872356675
85,Coord,1bRNN,E,MSE,3,28,500,0.1764467218528412
86,Coord,Linear,E,MSE,3,92,Overfit,0.1764605804481925
87,Coord,1aRNN,E,MSE,3,28,700,0.17646830637420902
88,Coord,Linear,E,MSE,4,60,Overfit,0.17649356036537717
89,Coord,StepLinear,E,3MSE,2,44,400,0.17651226957532193
90,Coord,1bRNN,E,MSE,3,92,Overfit,0.1765521877466517
91,Coord,Linear,E,L1,3,92,Overfit,0.17661750483622454
92,Coord,StepLinear,E,3MSE,2,28,600,0.17665819372558209
93,Coord,1aRNN,E,MSE,4,44,Overfit,0.17666718079223098
94,Coord,StepLinear,E,4MSE,2,60,500,0.17668553205850587
95,Coord,Linear,E,MSE,4,76,Overfit,0.1767122740848458
96,Coord,StepLinear,E2,3MSE,3,34,400,0.1767233832413307
97,Coord,Linear,E,MSE,5,60,Overfit,0.17675898875064044
98,Coord,StepLinear,E,4MSE,4,44,400,0.17679010757748226
99,Coord,1aRNN,E,MSE,2,28,600,0.17691929982396043
100,Coord,StepLinear,E,4MSE,5,44,400,0.17692399210771426
101,Coord,1bRNN,E,MSE,2,28,400,0.1769568567877941
102,Coord,StepLinear,E,3MSE,4,60,500,0.17696078467417867
103,Coord,1bRNN,E,MSE,5,60,Overfit,0.17701108291028556
104,Coord,EignModel,E,MSE,3,44,Overfit,0.17704856542509692
105,Coord,EignModel,E,MSE,5,60,Overfit,0.177144983538574
106,Coord,StepLinear,E,3MSE,5,28,700,0.17714851616604407
107,Coord,Linear,E,L1,4,76,Overfit,0.1771556243867341
108,Coord,StepLinear,E,3MSE,3,28,400,0.17718320559769807
109,Coord,Linear,E,L1,5,60,Overfit,0.1771900729720938
110,Coord,StepLinear,E,4MSE,4,28,500,0.17720700013681137
111,Coord,1aRNN,E,MSE,3,44,Overfit,0.17723470019485854
112,Coord,Linear,E,L1,5,76,Overfit,0.1772781167090825
113,Coord,StepLinear,E,4MSE,2,44,500,0.17739773003703557
114,Coord,1aRNN,E,MSE,5,44,Overfit,0.17745342988315735
115,Coord,StepLinear,E2,3MSE,5,34,400,0.17747837784800474
116,Coord,StepLinear,E,3MSE,3,44,400,0.17748219227206335
117,Coord,1aRNN,E,MSE,2,44,Overfit,0.17756187866963113
118,Coord,EignModel,E,MSE,4,44,Overfit,0.17763846942501854
119,Coord,1bRNN,E,MSE,4,76,Overfit,0.1776471965615996
120,Coord,EignModel,E,MSE,3,60,Overfit,0.1776509237322646
121,Coord,Linear,E,MSE,5,76,Overfit,0.1777094206010954
122,Coord,StepLinear,E2,3MSE,4,18,400,0.1777449183594483
123,Coord,StepLinear,E2,3MSE,2,18,500,0.17785641224817056
124,Coord,StepLinear,E,4MSE,3,28,400,0.178171301801852
125,Coord,1bRNN,E,MSE,5,76,Overfit,0.17826021839893533
126,Coord,StepLinear,E,4MSE,2,28,500,0.17852317323346084
127,Coord,EignModel,E,MSE,2,92,500,0.17859987151827883
128,Coord,1aRNN,E,MSE,3,60,Overfit,0.17863434837726616
129,Coord,Linear,E,MSE,4,92,Overfit,0.17863917571148488
130,Coord,Linear,E,L1,4,92,Overfit,0.17869259861117914
131,Coord,EignModel,E,MSE,2,76,400,0.17871910450131898
132,Coord,EignModel,E,MSE,3,76,Overfit,0.178818038012714
133,Coord,Linear,E,L1,2,28,400,0.1788614256532527
134,Coord,1aRNN,E,MSE,4,60,Overfit,0.17896054993095714
135,Coord,Linear,E,L1,5,92,Overfit,0.17901910627288106
136,Coord,1bRNN,E,MSE,4,92,Overfit,0.17902886639871773
